assertion_id	event_id	assertion_type	assertion_type_iri	assertion_type_vocabulary	assertion_made_date	assertion_effective_date	assertion_value	assertion_value_iri	assertion_value_vocabulary	assertion_value_numeric	assertion_unit	assertion_unit_iri	assertion_unit_vocabulary	assertion_by	assertion_by_id	assertion_protocol	assertion_protocol_id	assertion_citation	assertion_remarks
81b3c53d-16a9-454a-abd8-916cb25b1b0c	BIGC.20190424.07.1.e-fisher	Dissolved Oxygen Concentration								10	milligramsPerLiter								
d7cb47a5-0ae9-49a6-a578-59d43c652e94	BIGC.20190424.07.2.e-fisher	Dissolved Oxygen Concentration								10.9	milligramsPerLiter								
07bf4e08-af5c-4464-b382-7ace753862e1	BIGC.20190424.07.3.e-fisher	Dissolved Oxygen Concentration								9.7	milligramsPerLiter								
3dc9a34b-8558-432a-b111-e551b71661cd	BIGC.20190425.08.1.e-fisher	Dissolved Oxygen Concentration								9.1	milligramsPerLiter								
a64e2ea0-82e3-4df6-97d7-4c6dd4ca633e	BIGC.20190425.09.1.e-fisher	Dissolved Oxygen Concentration								9.1	milligramsPerLiter								
a1dfb56d-6380-4ef2-911c-58ed8a552cb4	BIGC.20191021.01.1.e-fisher	Dissolved Oxygen Concentration								8.8	milligramsPerLiter								
d43753f9-196f-43e3-970b-3d92367ddd8e	BIGC.20191021.01.2.e-fisher	Dissolved Oxygen Concentration								8.8	milligramsPerLiter								
a5c23bd1-f487-4dc4-b7be-c737752d3541	BIGC.20191021.01.3.e-fisher	Dissolved Oxygen Concentration								8.8	milligramsPerLiter								
b5cba129-96a0-43df-b7a4-19f748147a35	BIGC.20191022.04.1.e-fisher	Dissolved Oxygen Concentration								8	milligramsPerLiter								
a9f2e12e-16c0-4645-a150-0c83a9f536b1	BIGC.20191022.04.2.e-fisher	Dissolved Oxygen Concentration								8	milligramsPerLiter								
7acef1ea-d492-4d15-82ad-10a9068fada9	BIGC.20191022.04.3.e-fisher	Dissolved Oxygen Concentration								8	milligramsPerLiter								
7df6ba88-54a8-4309-b0ba-bd106c3c9146	BIGC.20191023.05.1.e-fisher	Dissolved Oxygen Concentration								8.7	milligramsPerLiter								
4e5165c1-3c31-4c1b-b9fa-153fd0494679	BIGC.20191023.07.1.e-fisher	Dissolved Oxygen Concentration								9.1	milligramsPerLiter								
9c021cdf-a255-4436-84fb-e01e46754412	BIGC.20191023.07.2.e-fisher	Dissolved Oxygen Concentration								9.1	milligramsPerLiter								
cc2d3eb7-ecf1-4e00-bd9c-c38ecd043717	BIGC.20191023.07.3.e-fisher	Dissolved Oxygen Concentration								9.1	milligramsPerLiter								
95c94c68-b1d9-422b-9d9b-b57e78885f24	BIGC.20191024.08.1.e-fisher	Dissolved Oxygen Concentration								8.6	milligramsPerLiter								
555f0749-91e9-4d86-8c8e-31de7ff74813	BIGC.20191024.09.1.e-fisher	Dissolved Oxygen Concentration								9.2	milligramsPerLiter								
759ca2d3-afa7-4b4d-b429-4005a3520a6f	BIGC.20190422.01.1.e-fisher	Conductivity auto-corrected to 25 degrees C								75.6	microsiemensPerCentimeter								
21e29d86-15c1-44ba-b500-35b6dde0746e	BIGC.20190422.01.2.e-fisher	Conductivity auto-corrected to 25 degrees C								77.3	microsiemensPerCentimeter								
683cf23d-6d29-4467-9ab8-245b7c8a09e9	BIGC.20190422.01.3.e-fisher	Conductivity auto-corrected to 25 degrees C								77.8	microsiemensPerCentimeter								
7e7b9ab8-8e32-4197-b4a3-d5e458c4da4c	BIGC.20190423.04.1.e-fisher	Conductivity auto-corrected to 25 degrees C								76.9	microsiemensPerCentimeter								
7cd1ab28-5ebf-4d9d-85d5-615ef4c2cf55	BIGC.20190423.04.2.e-fisher	Conductivity auto-corrected to 25 degrees C								77.2	microsiemensPerCentimeter								
467e2ee8-f7ea-451b-aab2-e6f0c170e850	BIGC.20190423.04.3.e-fisher	Conductivity auto-corrected to 25 degrees C								76.5	microsiemensPerCentimeter								
6b391851-f29d-41d5-8107-2b19aea051ac	BIGC.20190424.05.1.e-fisher	Conductivity auto-corrected to 25 degrees C								78.4	microsiemensPerCentimeter								
d4c195b2-7f42-4a93-aaaa-0f7db7ae862b	BIGC.20190424.07.1.e-fisher	Conductivity auto-corrected to 25 degrees C								79.8	microsiemensPerCentimeter								
c87ea90f-56d1-4bb7-8326-20d229da5c85	BIGC.20190424.07.2.e-fisher	Conductivity auto-corrected to 25 degrees C								78.9	microsiemensPerCentimeter								
944f6a31-6868-4e41-b62a-1d1fb4cf7837	BIGC.20190424.07.3.e-fisher	Conductivity auto-corrected to 25 degrees C								78.6	microsiemensPerCentimeter								
7049f244-3ef1-4503-ba27-8b7828b82104	BIGC.20190425.08.1.e-fisher	Conductivity auto-corrected to 25 degrees C								78.6	microsiemensPerCentimeter								
27e6831f-748c-4df7-88c7-f55373031c1e	BIGC.20190425.09.1.e-fisher	Conductivity auto-corrected to 25 degrees C								79.5	microsiemensPerCentimeter								
a5ee5a44-a865-4820-87be-24682cc85658	BIGC.20191021.01.1.e-fisher	Conductivity auto-corrected to 25 degrees C								157	microsiemensPerCentimeter								
a97ca4de-171b-4f6f-81e5-2d0c3534599c	BIGC.20191021.01.2.e-fisher	Conductivity auto-corrected to 25 degrees C								157	microsiemensPerCentimeter								
