tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8440,16467,"AA36","EGY",1446,"19",1981,8,28,"0425",54.25,7.5,,,"37F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16468,"AA36","EGY",1566,"19",1981,8,28,"0425",54.25,7.5,,,"37F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16469,"AA36","EGY",1675,"19",1981,8,28,"0425",54.25,7.5,,,"37F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16470,"AA36","EGY",1306,"20",1981,8,28,"0715",53.75,7.5,,,"36F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16471,"AA36","EGY",1355,"20",1981,8,28,"0715",53.75,7.5,,,"36F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16472,"AA36","EGY",1445,"20",1981,8,28,"0715",53.75,7.5,,,"36F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16473,"AA36","EGY",1565,"20",1981,8,28,"0715",53.75,7.5,,,"36F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16474,"AA36","EGY",1447,"18",1981,8,28,"1200",54.75,7.5,,,"38F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16475,"AA36","EGY",1356,"19",1981,8,28,"1200",54.25,7.5,,,"37F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16476,"AA36","EGY",1306,"20",1981,8,28,"1200",53.75,7.5,,,"36F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16477,"AA36","EGY",1301,"21",1981,8,28,"1200",54.25,5.5,,,"37F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16478,"AA36","EGY",1307,"22",1981,8,28,"1200",54.75,8.5,,,"38F8",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16479,"AA36","EGY",1301,"21",1981,8,28,"1715",54.25,5.5,,,"37F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16480,"AA36","EGY",1347,"21",1981,8,28,"1715",54.25,5.5,,,"37F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16481,"AA36","EGY",1307,"22",1981,8,28,"2135",54.75,8.5,,,"38F8",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16482,"AA36","EGY",1308,"23",1981,8,29,"0530",55.25,8.5,,,"39F8",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16483,"AA36","EGY",1357,"23",1981,8,29,"0530",55.25,8.5,,,"39F8",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16484,"AA36","EGY",1308,"23",1981,8,29,"1200",55.25,8.5,,,"39F8",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16485,"AA36","EGY",1305,"25",1981,8,31,"0910",55.25,6.5,,,"39F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16486,"AA36","EGY",1354,"25",1981,8,31,"0910",55.25,6.5,,,"39F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16487,"AA36","EGY",1441,"25",1981,8,31,"0910",55.25,6.5,,,"39F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16488,"AA36","EGY",1562,"25",1981,8,31,"0910",55.25,6.5,,,"39F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16489,"AA36","EGY",1671,"25",1981,8,31,"0910",55.25,6.5,,,"39F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16490,"AA36","EGY",1703,"25",1981,8,31,"0910",55.25,6.5,,,"39F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16491,"AA36","EGY",1305,"25",1981,8,31,"1200",55.25,6.5,,,"39F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
